Car,Class,Body,Layout,Length,Width,Height,Weight,Type,Engine,Transmission,Horsepower,Zero-Sixty,Topspeed,Price,Rating
Bugatti Bolide,Track Only,"2 Door, 2 Seat, Coupe","Mid Engine, 4 Wheel Drive",4455,1999,996,1240,Supercar,Quad Turbo 8.0-litre W16,7 Speed Dual Clutch,1825,2.1,310,"4,386,000",71
Bugatti Chiron Super Sport 300+,Hypercar,"2 Door, 2 Seat, Coupe","Mid Engine, 4 Wheel Drive",4793,2040,1210,1978,Supercar,Quad Turbo 8.0-litre W16,7 Speed Dual Clutch,1578,2.4,304,"4,979,000",73
SSC Tuatara,Hypercar,"2 Door, 2 Seat, Coupe","Mid Engine, Rear Drive",4633,2065,1021,1247,Supercar,Twin Turbo 5.9-litre V8,7 Speed Semi Auto,1750,2.5,295,"14,818,000",72
Czinger 21C,Hypercar,"2 Door, 1+1 Sea,t Coupe","Mid Engine, 4 Wheel Drive",4293,1875,1020,1240,Supercar,Hybrid Twin Turbo 2.9-litre V8,7 Speed Semi Auto,1233,1.9,281,"1,897,000",75
Hennessey Venom F5,Hypercar,"2 Door, 2 Seat, Coupe","Mid Engine, Rear Drive",4666,1961,1130,1360,Supercar,Twin Turbo 6.6-litre V8,"7 Speed Semi Auto, 6 Speed Manual",1792,2.5,275,"1,897,000",69
Koenigsegg Agera RS,Track Focused,"2 Door, 2 Seat, Targa","Mid Engine, Rear Drive",4293,2050,1120,1394,Supercar,Twin Turbo 5.0-litre V8,7 Speed Dual Clutch,1341,2.8,278,"3,557,000",74
Bugatti Chiron Super Sport,Hypercar,"2 Door, 2 Seat, Coupe","Mid Engine, 4 Wheel Drive",4794,2038,1212,1978,Supercar,Quad Turbo 8.0-litre W16,7 Speed Dual Clutch,1578,2.3,273,"3,260,000",74
Koenigsegg Jesko,Track Focused,"2 Door, 2 Seat, Targa","Mid Engine, Rear Drive",4610,2029,1209,1320,Supercar,Twin Turbo 5.0-litre V8,9 Speed Multi Clutch,1600,2.5,275,"2,727,000",76
Koenigsegg One:1,Hypercar,"2 Door, 2 Seat, Coupe","Mid Engine, Rear Drive",4500,2050,1150,1360,Supercar,Twin Turbo 5.0-litre V8,7 Speed Dual Clutch,1341,2.7,273,"5,335,000",73
9FF GT9 Vmax,Hypercar,"2 Door, 2 Seat, Coupe","Mid Engine, Rear Drive",4719,2045,1100,1340,Supercar,Twin Turbo 4.2-litre 6cyl,6 Speed Semi Auto,1381,3,272,"4,861,000",74
